category,reference,finetuned,baseline
accessories,Maxima Men Black Watch,Fastrack Men Black Dial Watch,Rolex Men Black Leather Strap Automatic Watch
electronics,Wilife PC Based 2 Camera Master Video Security System,Logitech 960-000102 900-100200 980-300400 Logitech 2.0 Speaker System (Discontinued by Manufacturer),Logitech Home Security Silver HD Video Doorbell with Night Vision
clothing,Indigo Nation Men Charcoal Trousers,United Colors of Benetton Men Solid Grey Trousers,Calvin Klein Men Charcoal Formal Dress Pants
accessories,Maxima Men Digital Watch,Fastrack Men Black Digital Watch,Swatch Unisex Black Silicone Digital Watch
clothing,United Colors of Benetton Women Blue T-shirt,United Colors of Benetton Women Solid Blue Tshirts,Adidas Women Royal Blue V-Neck T-Shirt
electronics,Sirius Universal Black Magnetic Car Antenna SSP1455,GPS Antenna for Garmin Nuvi 200 255 265T 275T,Logitech General Black USB-C to 3.5mm Audio Cable
electronics,"Dahua IPC-HDW1300S 3MP IR Eyeball Dome Outdoor IP Camera, 3.6mm fixed lens",Hikvision DS-2CE56D8T-IT3F 2.8mm 1080P HD-TVI Dome Camera with 30m Night Vision,"Hikvision DS-2CE56D0T-IRF 2MP Dome Camera, White, 1080P, 20m Night Vision"
electronics,Tiffen 46mm Digital Neutral Density Filter Kit,"Tiffen 77mm 3-Filter Kit (ND4, ND8, ND1000)",Tiffen 77mm Digital Photo Video Filter Kit with Pouch
accessories,Being Human Women White Silicon Strap Watch,Fastrack Unisex White Dial Watch,Swatch Unisex White Silicone Sports Watch
electronics,L-com DG9 Right Angle D-Sub Adapter (DE-9 exit 1),DB9 Female to DB9 Female RS232 Serial Adapter,LogiLink DB9 Female to Female RS232 Adapter
clothing,Highlander Men Solid Olive Trouser,United Colors of Benetton Men Khaki Trousers,Levi's Men Khaki Regular Fit Jeans
clothing,Garfield Women Grey Melange Striped Hipster Briefs GFA12-005,Enamor Women Grey Briefs,Calvin Klein Women's Grey Microfiber Briefs
clothing,Tonga Women Brown Dress,United Colors of Benetton Women Solid Brown Tunic,Adidas Women Black V-Neck T-Shirt
